nombre_embalse	fecha	hora	cota
MACHICURA	2022-01-02	22	256,32
MAULE	2022-01-02	22	2160,97
MELADO	2022-01-02	22	642,84
PANGUE	2022-01-02	22	509,62
POLCURA	2022-01-02	22	735,67
RALCO	2022-01-02	22	720,25
RAPEL	2022-01-02	22	104,0
ANGOSTURA	2022-01-02	23	316,75
CHAPO	2022-01-02	23	235,3
COLBUN	2022-01-02	23	429,83
INVERNADA	2022-01-02	23	1293,16
LAJA	2022-01-02	23	1319,23
MACHICURA	2022-01-02	23	256,33
MAULE	2022-01-02	23	2160,96
MELADO	2022-01-02	23	642,75
PANGUE	2022-01-02	23	509,66
POLCURA	2022-01-02	23	735,79
RALCO	2022-01-02	23	720,26
RAPEL	2022-01-02	23	104,0
ANGOSTURA	2022-01-02	24	316,64
CHAPO	2022-01-02	24	235,3
COLBUN	2022-01-02	24	429,83
INVERNADA	2022-01-02	24	1293,15
LAJA	2022-01-02	24	1319,18
MACHICURA	2022-01-02	24	256,33
MAULE	2022-01-02	24	2160,96
MELADO	2022-01-02	24	642,66
PANGUE	2022-01-02	24	509,7
POLCURA	2022-01-02	24	735,82
RALCO	2022-01-02	24	720,25
RAPEL	2022-01-02	24	104,0
ANGOSTURA	2022-01-03	1	316,52
CHAPO	2022-01-03	1	235,32
COLBUN	2022-01-03	1	429,84
INVERNADA	2022-01-03	1	1293,14
LAJA	2022-01-03	1	1319,18
MACHICURA	2022-01-03	1	256,33
MAULE	2022-01-03	1	2160,96
MELADO	2022-01-03	1	642,62
PANGUE	2022-01-03	1	509,71
POLCURA	2022-01-03	1	735,73
RALCO	2022-01-03	1	720,25
RAPEL	2022-01-03	1	104,0
ANGOSTURA	2022-01-03	2	316,57
CHAPO	2022-01-03	2	235,32
COLBUN	2022-01-03	2	429,84
INVERNADA	2022-01-03	2	1293,12
LAJA	2022-01-03	2	1319,18
MACHICURA	2022-01-03	2	256,32
MAULE	2022-01-03	2	2160,96
MELADO	2022-01-03	2	642,64
PANGUE	2022-01-03	2	509,73
POLCURA	2022-01-03	2	735,67
RALCO	2022-01-03	2	720,26
RAPEL	2022-01-03	2	104,0
ANGOSTURA	2022-01-03	3	316,61
CHAPO	2022-01-03	3	235,34
COLBUN	2022-01-03	3	429,83
INVERNADA	2022-01-03	3	1293,1
LAJA	2022-01-03	3	1319,18
MACHICURA	2022-01-03	3	256,34
MAULE	2022-01-03	3	2160,96
MELADO	2022-01-03	3	642,67
PANGUE	2022-01-03	3	509,72
POLCURA	2022-01-03	3	735,57
RALCO	2022-01-03	3	720,27
RAPEL	2022-01-03	3	104,0
ANGOSTURA	2022-01-03	4	316,6
CHAPO	2022-01-03	4	235,34
COLBUN	2022-01-03	4	429,83
INVERNADA	2022-01-03	4	1293,09
LAJA	2022-01-03	4	1319,18
MACHICURA	2022-01-03	4	256,31
MAULE	2022-01-03	4	2160,95
MELADO	2022-01-03	4	642,69
PANGUE	2022-01-03	4	509,68
POLCURA	2022-01-03	4	735,47
RALCO	2022-01-03	4	720,28
RAPEL	2022-01-03	4	104,0
ANGOSTURA	2022-01-03	5	316,48
CHAPO	2022-01-03	5	235,35
COLBUN	2022-01-03	5	429,83
INVERNADA	2022-01-03	5	1293,07
LAJA	2022-01-03	5	1319,18
MACHICURA	2022-01-03	5	256,33
MAULE	2022-01-03	5	2160,96
MELADO	2022-01-03	5	642,71
PANGUE	2022-01-03	5	509,64
POLCURA	2022-01-03	5	735,41
RALCO	2022-01-03	5	720,3
RAPEL	2022-01-03	5	104,0
ANGOSTURA	2022-01-03	6	316,35
CHAPO	2022-01-03	6	235,36
COLBUN	2022-01-03	6	429,82
INVERNADA	2022-01-03	6	1293,06
LAJA	2022-01-03	6	1319,18
MACHICURA	2022-01-03	6	256,33
MAULE	2022-01-03	6	2160,94
MELADO	2022-01-03	6	642,72
PANGUE	2022-01-03	6	509,6
POLCURA	2022-01-03	6	735,33
RALCO	2022-01-03	6	720,32
RAPEL	2022-01-03	6	104,0
ANGOSTURA	2022-01-03	7	316,28
CHAPO	2022-01-03	7	235,37
COLBUN	2022-01-03	7	429,82
INVERNADA	2022-01-03	7	1293,05
LAJA	2022-01-03	7	1319,18
MACHICURA	2022-01-03	7	256,4
